"","Total_Size","Hits","Sig_Hits","Mummichog_Pvals","GSEA_Pvals","Combined_Pvals"
"Phenylalanine metabolism",8,8,7,4e-05,0.999,0.00042
"Tryptophan metabolism",39,33,14,0.00074,0.999,0.00604
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,4,4,0.00102,0.9239,0.00753
"Drug metabolism - cytochrome P450",21,17,6,0.06801,0.999,0.2506
"Lysine degradation",30,14,3,0.4776,0.2079,0.3286
"Arginine biosynthesis",13,10,3,0.2636,0.4356,0.3634
"Vitamin B6 metabolism",9,9,3,0.2109,0.802,0.4697
"Glycerophospholipid metabolism",36,9,3,0.2109,0.8515,0.4879
"Lipoic acid metabolism",27,4,1,0.5499,0.4022,0.5549
"Pentose and glucuronate interconversions",19,14,4,0.2354,0.999,0.5756
"Glutathione metabolism",28,11,1,0.89,0.3861,0.7107
"Tyrosine metabolism",42,38,8,0.3765,0.999,0.7439
"Drug metabolism - other enzymes",38,19,4,0.4583,0.999,0.8155
"Pentose phosphate pathway",23,14,3,0.4776,0.999,0.8302
"Ubiquinone and other terpenoid-quinone biosynthesis",18,9,2,0.504,0.9802,0.8424
"Porphyrin metabolism",31,11,2,0.6188,0.999,0.9155
"D-Amino acid metabolism",15,14,2,0.7514,0.999,0.966
"Amino sugar and nucleotide sugar metabolism",42,22,3,0.7908,0.999,0.9762
"Fructose and mannose metabolism",18,8,1,0.7984,0.999,0.978
"Valine, leucine and isoleucine biosynthesis",8,8,1,0.7984,0.999,0.978
"Caffeine metabolism",11,9,1,0.8352,0.999,0.9855
"Pantothenate and CoA biosynthesis",20,14,1,0.9402,0.9109,0.9892
"Purine metabolism",67,32,4,0.8603,0.999,0.9896
"Metabolism of xenobiotics by cytochrome P450",48,27,3,0.8936,0.999,0.994
"Arginine and proline metabolism",36,29,3,0.9202,0.999,0.9966
"Alanine, aspartate and glutamate metabolism",28,22,2,0.9298,0.999,0.9974
"Histidine metabolism",16,16,1,0.9602,0.9703,0.9976
"Retinol metabolism",17,15,1,0.9512,0.999,0.9987
"Valine, leucine and isoleucine degradation",40,15,1,0.9512,0.999,0.9987
"Galactose metabolism",27,17,1,0.9675,0.999,0.9994
"Cysteine and methionine metabolism",33,19,1,0.9784,0.999,0.9997
"Pyrimidine metabolism",40,23,1,0.9905,0.999,1
"Arachidonic acid metabolism",41,38,2,0.9959,0.999,1
"Steroid hormone biosynthesis",74,72,6,0.9956,0.999,1
"Primary bile acid biosynthesis",46,32,1,0.9985,0.999,1
"Steroid biosynthesis",41,32,1,0.9985,0.999,1
